id,Marca
1,Abarth
2,Alfa Romeo
3,Aston Martin
4,Audi
5,Bentley
6,Bmw
7,Buick
8,Cadillac
9,Chevrolet
10,Chrysler
11,Citroen
12,Dacia
13,Daewoo
14,Daihatsu
15,Daimler
16,Dodge
17,Ds
18,Ferrari
19,Fiat
20,Ford
21,Galloper
22,Honda
23,Hummer
24,Hyundai
25,Infiniti
26,Isuzu
27,Iveco
28,Jaguar
29,Jeep
30,Kia
31,Lada
32,Lamborghini
33,Lancia
34,Land Rover
35,Lexus
36,Lotus
37,Mahindra
38,Maserati
39,Masserati
40,Maybach
41,Mazda
42,Mclaren
43,Mercedes
44,Mini
45,Mitsubishi
46,Mk Sportscar
47,Morgan
48,Nissan
49,Opel
50,Peugeot
51,Pontiac
52,Porsche
53,Renault
54,Rolls-Royce
55,Rover
56,Saab
57,Santana
58,Seat
59,Skoda
60,Smart
61,Ssangyong
62,Subaru
63,Suzuki
64,Tata
65,Tesla
66,Toyota
67,Volkswagen
68,Volvo
